PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,IID,Sex,population,Geographic_origin,Region,Pop7Groups
0.005918382,-0.035790666,-0.001967182,-0.003171505,-0.000494389,-0.012175928,0.005039035,0.006367896,-0.006334778,-0.017721998,-0.044190936,0.005332437,0.001805395,0.002192193,-0.015404656,-0.016818913,-0.033778561,-0.017103037,-0.005495792,-0.020272064,HGDP00581,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.005133089,-0.036679203,-0.001345035,-0.003309929,-0.000366279,-0.014004631,0.005161943,0.001818141,-0.004894169,-0.014296517,-0.032863787,0.005063607,0.000830807,0.00053322,-0.007669383,-0.008521876,-0.01840237,-0.008515612,-0.004617162,-0.006384393,HGDP00594,M,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.001549949,-0.034702712,-0.001775711,-0.003608681,0.002238857,-0.017794884,0.004942233,0.003319191,-0.003657424,-0.016981614,-0.03891959,0.004959264,0.000886606,-0.003350675,-0.007346478,-0.006542932,-0.00841112,-0.003468959,-0.004570065,-0.00545054,HGDP00675,M,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.002347819,-0.034893066,-0.002842861,-0.003161292,0.001115227,-0.014255434,0.004226509,0.003284914,-0.002955445,-0.018304777,-0.035505299,0.003918013,-2.16E-05,0.001648524,-0.006830908,-0.00263833,-0.008303393,-0.003044026,-0.000529019,-0.00663106,HGDP00687,F,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.00213625,-0.035059236,-0.001385205,-0.004587069,0.003209559,-0.017717801,0.0075311,0.003921982,-0.004916384,-0.01757501,-0.037760639,0.005602132,0.000699295,-0.001258447,-0.007518087,-0.007490859,-0.009782123,-0.003716047,0.000339314,-0.006965149,HGDP00697,F,Palestinian,Israel_(Central),Middle_Est,Middle_Est
-3.30E-05,-0.033276814,-0.002725799,-0.003539945,0.004056444,-0.016641494,0.004455802,0.002845428,-0.006493054,-0.0201265,-0.033621244,0.003593797,0.003621062,0.002602777,-0.007217465,-0.005128172,-0.009696986,-0.005153364,-0.00042426,-0.006882734,HGDP00729,M,Palestinian,Israel_(Central),Middle_Est,Middle_Est
6.09E-05,-0.03300995,-0.001420992,-0.003173017,0.002562918,-0.014063871,0.005433579,0.004660933,-0.000536446,-0.01325606,-0.025983395,0.004712998,0.000262254,-0.004288699,-0.003296609,-0.004286897,-0.005654553,-0.006202603,-0.00230947,-0.008026876,HGDP00741,F,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.00856389,-0.024859298,0.000363324,0.002476531,-0.003185966,0.052511101,-0.021884319,0.005799601,-0.002591426,-0.010653052,-0.013612687,0.003273156,-0.000482645,-0.001295738,-0.006534651,-0.014655581,-0.016284522,-0.011258166,0.00050215,0.019198284,HGDP00011,M,Brahui,Pakistan,Asia,Central_South_Asia
0.007533318,-0.02278558,0.000592422,0.003326781,-0.002396274,0.054022933,-0.021760458,0.007442783,-0.005881067,-0.01071634,-0.01635442,0.001784797,0.002044831,0.000464316,-0.00232523,-0.016330387,-0.01456127,-0.010283858,-0.001984798,0.022290413,HGDP00035,M,Brahui,Pakistan,Asia,Central_South_Asia
0.008727512,-0.023098866,0.001008309,0.005354336,-0.002965891,0.0547277,-0.022142356,0.005691352,-0.000779213,-0.004552827,-0.008028581,0.001315333,0.001179757,0.00036937,0.000501257,-0.01129479,-0.012993246,-0.009650907,-0.000404673,0.023395053,HGDP00058,M,Balochi,Pakistan,Asia,Central_South_Asia
0.008826167,-0.025197797,-2.82E-05,0.0043938,-0.004100373,0.051475592,-0.023194729,0.006147257,-0.002863752,-0.005578669,-0.006397131,0.00160004,0.001557231,0.002931832,-0.001144237,-0.016803262,-0.016044442,-0.011310107,0.000296598,0.025152425,HGDP00082,M,Balochi,Pakistan,Asia,Central_South_Asia
0.013690895,0.006154776,0.014195342,-0.011433855,-0.003274719,0.012596828,-0.00550311,0.001121109,-0.000756926,0.002115556,0.004756719,-0.001413388,0.00114474,0.001557139,0.001243658,-0.009991313,-0.003456727,-0.004445461,5.51E-05,0.005781262,HGDP00103,M,Hazara,Pakistan,Asia,Central_South_Asia
-0.086701394,0.016326955,-0.00458328,-0.010133896,0.079117803,0.004641013,-0.008874938,-0.003627185,0.003546167,-0.011485154,0.017518135,0.004847965,-0.016711917,-0.048230918,0.053774763,-0.005826265,0.001248859,-0.026224237,-0.114500004,0.003584727,HGDP00938,F,Yoruba,Nigeria,Subsaharian_Africa,Africa
-0.074731381,0.01190817,-0.002190299,-0.007152006,0.046616646,-0.003500078,-0.01247982,0.000839058,-0.000412496,-0.021535303,-0.011531593,-0.006029131,-0.01411078,-0.101803492,0.271873601,-0.016125224,-0.020564706,-0.018261151,0.574728359,0.000229595,HGDP01411,M,Bantu_N.E.,Kenya,Subsaharian_Africa,Africa
-0.011334062,-0.029240829,-0.002430481,-0.007400383,0.016578403,-0.053611838,0.018608835,-0.001018072,-0.003264543,-0.021569195,-0.032663113,0.012590216,0.002064864,0.00534969,0.020181374,0.055473092,0.102084229,0.053107813,-0.003853223,0.049369028,HGDP01264,M,Mozabite,Algeria_(Mzab),North_Africa,Middle_Est
-0.014060338,-0.027701242,-0.001212018,-0.006356213,0.01917764,-0.056095866,0.016019803,-0.002817489,-0.002324754,-0.023200588,-0.034025663,0.007078193,0.001205238,0.007195199,0.018363322,0.054549003,0.097857329,0.051273532,-0.005418626,0.046955365,HGDP01276,F,Mozabite,Algeria_(Mzab),North_Africa,Middle_Est
0.001844869,-0.036485904,-0.000331503,-0.003994722,0.002001352,-0.036257461,0.009230636,0.006081823,-0.010165073,-0.047422851,-0.098523129,0.009117034,0.003012981,0.00404471,-0.015240713,-0.008832991,-0.017254224,-0.004027472,-0.006097302,-0.037211649,HGDP00612,F,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
-0.000224704,-0.035213098,-0.001398213,-0.004065637,0.00341669,-0.035326162,0.009370386,0.003135683,-0.006340681,-0.038624176,-0.079430298,0.010649919,0.001745199,0.002454175,-0.011239083,-0.006698921,-0.014871461,-0.00701166,-0.00152893,-0.028343994,HGDP00624,M,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
-0.002407995,-0.032198271,-0.002208947,-0.003868198,0.005572194,-0.019494231,0.002798263,0.002164852,-0.003347074,-0.019738464,-0.036869929,0.004513064,0.000950906,0.002623564,-0.002677554,-0.006244598,-0.005307844,-0.001262421,0.001058008,-0.007465765,HGDP00635,F,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
-0.008029483,-0.029575011,-0.001053618,-0.004771298,0.00775961,-0.023259712,0.006070575,0.001023059,-0.00266782,-0.022843063,-0.036119433,0.00477901,0.001471673,0.001201044,0.001554106,0.002591458,-0.000524659,-0.001255409,0.002345178,-0.001306858,HGDP00646,F,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
0.005896304,-0.037643586,-0.00322845,-0.004239525,-0.000550901,-0.011541854,0.003151663,0.003397768,-0.003729702,-0.016024586,-0.040609532,0.00378818,-0.000742039,0.002800717,-0.013609396,-0.019611153,-0.030646512,-0.014043775,-0.004764658,-0.016125729,HGDP00558,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.004867014,-0.03670011,-0.001502808,-0.003473446,-0.000567364,-0.015093379,0.005574863,0.005680615,-0.003069012,-0.016798697,-0.034692603,0.001695843,-0.00066946,0.001735134,-0.0106451,-0.014011216,-0.024862789,-0.009604336,-0.002367109,-0.013936686,HGDP00570,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.005603148,-0.035140547,-0.001804127,-0.004434221,-0.000749545,-0.011663262,0.003040913,0.002855988,-0.003252705,-0.013098473,-0.027020577,0.004854344,0.000946996,0.000973802,-0.005629486,-0.003763505,-0.011397087,-0.003452026,-0.000978936,-0.008547501,HGDP00582,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.006365017,-0.036518066,-0.002536558,-0.001362789,-0.001624605,-0.010853359,0.004975871,0.004321342,-0.002231906,-0.016222524,-0.033198882,0.006060374,-0.000498937,0.000558105,-0.00917506,-0.007497131,-0.016922308,-0.007632264,-0.003164916,-0.008729484,HGDP00595,M,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.001782775,-0.03414962,-0.000849818,-0.003185062,0.00357544,-0.015405899,0.006268215,0.00259811,-0.002878511,-0.0172237,-0.029233674,0.002044704,-0.001087562,0.003841218,-0.005158872,-0.00259913,-0.005999614,-0.000270763,0.000780063,-0.005472676,HGDP00676,M,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.00173399,-0.033556652,-0.001823576,-0.001796374,0.0019647,-0.015086379,0.00537252,0.001329844,-0.003297334,-0.015746822,-0.031216666,0.002198675,0.003520262,0.001196439,-0.006630472,-0.001652426,-0.004056037,-0.00304932,-0.002060772,-0.008032482,HGDP00688,F,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.000527952,-0.033424428,-0.000950364,-0.003561145,0.001418017,-0.017052744,0.004701723,0.002106773,-0.002647591,-0.014811094,-0.025329676,0.001507865,0.000754334,0.002034547,-0.002417038,-0.002791088,-0.00592174,0.001247695,0.002116033,-0.005010443,HGDP00698,F,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.002067059,-0.034491031,-0.001177365,-0.003639054,0.00218063,-0.015574558,0.005040118,0.002170331,-0.004288982,-0.017510007,-0.03406231,0.004578049,0.000205727,-0.000504455,-0.003077817,-0.004194599,-0.006827679,-0.003626141,0.000480603,-0.007789011,HGDP00730,M,Palestinian,Israel_(Central),Middle_Est,Middle_Est
0.000990427,-0.033963261,-0.002318428,-0.00382228,0.00193469,-0.01818562,0.007667562,0.001473774,-0.003864618,-0.019402298,-0.039895761,0.003968055,0.003639066,0.000485855,-0.007528711,-0.007774598,-0.011510462,-0.000689874,-0.002055373,-0.0081897,HGDP00742,F,Palestinian,Israel_(Central),Middle_Est,Middle_Est
