MappingID2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,SuperClust
379,17,-0.0195094763552363,0.0246588758243571,0.00299477634916645,-0.00555276898544299,0.00493282890626228,0.000292161057333047,-0.0135312072226046,-0.0100297066159322,-2.76199513431085e-05,0.00348009616231626,0.00602090294617814,0.00493023159095015,0.000100535588154089,-0.00426166378713152,0.00589781071351837,-0.00502964138052624,-0.00403926203753766,-0.00519604692637098,0.00406586595395238,-0.012955671611861,5
277,18,-0.0226928105218404,0.026212985065948,0.00450034489128809,-0.00232286925267768,0.0320409120534094,0.0225987686219303,0.0575043009836185,0.0348464600321846,0.00294794252473744,0.00184198970033905,0.00512124586410686,0.0102833947534671,0.00106588936285799,0.00154233276094638,0.000329786481701068,4.83441087725836e-05,-0.00523629134498202,-0.00271792134194446,0.0016424373147942,0.0046559749065589,5
522,19,-0.025091681295961,0.0271815258327349,0.00554735084785221,-0.00144814087704215,0.0425099207845882,0.0300675191298678,0.0939415094867162,0.0594770733057329,0.00187615344112415,0.00146344219491851,-0.00160851710948668,-0.00479955907585985,-0.0066603377220104,0.00261917704930263,-0.00517089128160405,-0.00722031605204697,0.000506654678521093,-0.0116922321248578,-0.00379624007096734,0.00551285947299767,5
751,20,0.0106643843181651,-0.00281239975201172,-0.0100034875881903,-0.0413884438390227,-0.00678661133582334,-0.0192213286250799,-0.0011207750413447,0.00330805671867371,0.00166592237137382,0.00504228108365041,-0.0204891629768842,-0.0217832986602453,0.0218643013574131,0.0202850527116272,0.00717210151286589,0.000998644146051567,-0.00210103677872503,0.00534162829853934,-0.00409711125929935,0.0292880095911108,6
527,21,0.00818582594348746,-0.00663619071884371,-0.00792857455913169,-0.0508150824598815,-0.0105950025731008,-0.0253809804845405,0.00591732544621316,0.0317104142586645,-0.00222772679905321,-0.031814990992454,0.0175649386312685,0.00373785945245681,-0.0104124016886966,-0.0159362781500908,0.00696020234131627,-0.00712459823513326,-0.00925714492115727,0.00231131639453453,0.0228009014112284,-0.00742225098973819,6
349,22,-0.0223469765086252,0.00940945836348418,0.00528741657494264,0.00180939226504632,0.0151848652427971,-0.000286900815639829,0.0156460599383629,0.00770948660867088,-0.00430950852303786,-0.00888113381505791,0.000189943677972813,-0.00132790936365642,0.00588455294286081,-0.00636353310031103,-0.00088599616779252,0.0079399883691552,0.00149199535863969,0.00109156085046858,-0.00591594718827762,-0.00113341890308578,5
60,23,0.0102934851983551,0.010573409750509,0.011967122100778,-0.00592055161132228,0.00949829562533121,0.00504655914220074,-0.0137911468983107,-0.00148017631800984,-0.0234668113806122,0.00167457373364531,-0.00102213606456125,-0.0171933461253887,-0.00238867699078105,0.0116811155173944,-0.00674638720832699,-0.0197138921502336,-0.0104619060736806,0.0153139344370884,-0.00235228587189327,-0.000853786712710091,6
650,24,0.0391180230609165,0.00711235317878256,0.0551635263968797,0.0117510559109909,0.00499547700898715,-0.00826965864911221,-0.00524276444271138,0.00814745732180696,0.0723505287597267,0.00345630719242423,-0.0223178689932094,0.00841050109330524,-0.00292368664956848,-0.00203110084060176,-0.00198897681366339,0.0211964184399767,-0.0146579583879806,0.00209457704172526,0.0211404732248665,0.0018460454886489,6
305,25,0.0193866315646015,0.00235844020621677,-0.00727843336721639,-0.0327972137610841,-0.0191634626033344,0.0191514187944188,0.02319559972119,-0.0358945764276936,-0.00401768337028567,0.00131426508106082,-0.0481557562968724,0.00351094056812505,0.00959471809924921,-0.015347268769014,-0.00109981468469789,0.00940354707064708,-0.00371617959096451,-0.00498319861690861,0.00884063441867513,0.00685593870457532,6
176,26,0.0447463197482552,0.00861465010859291,0.0666940996779198,0.0224410730941183,0.00961155277869039,-0.0182746415640981,-0.00999270671109374,0.0125144537129595,0.0564769334558172,0.0104008797180879,-0.00185393018584573,-0.00882826248445127,0.0445834503682249,-0.0118503761871018,-0.0267070609275191,0.0371642518118104,-0.00347909796647438,0.0163754695486533,-0.00188634678650852,-0.0128819605895557,6
